"code_commune","annee_etablissement","nb_dpe","nb_passoires","nb_logements_performants","nb_etiquette_a","nb_etiquette_b","nb_etiquette_c","nb_etiquette_d","nb_etiquette_e","nb_etiquette_f","nb_etiquette_g","conso_ep_moyenne","conso_ep_mediane","emission_ges_moyenne","surface_moyenne_m2","cout_annuel_moyen_eur","taux_passoires_pct","taux_performants_pct","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","latitude","longitude"
"01092",2026,30,5,4,2,2,15,3,3,3,2,197.5,164,12.3,102.1,2243,16.67,13.33,"Châtillon-la-Palud","01",84,874631.7546153846,6544280.846153847,45.975799,5.255745
"01093",2024,270,20,10,2,8,108,99,33,11,9,186.7,168.5,22.2,86,1536,7.41,3.7,"Châtillon-sur-Chalaronne","01",84,851180.5384615397,6559798.213146844,46.121116,4.957924
"01093",2025,211,13,16,4,12,83,74,25,8,5,182.8,175.7,19.2,84.5,1623,6.16,7.58,"Châtillon-sur-Chalaronne","01",84,851180.5384615397,6559798.213146844,46.121116,4.957924
"01093",2026,224,31,15,1,14,36,68,74,18,13,240.9,236,36.2,70.6,1649,13.84,6.7,"Châtillon-sur-Chalaronne","01",84,851180.5384615397,6559798.213146844,46.121116,4.957924
"01094",2024,7,2,0,0,0,0,4,1,1,1,258.2,190.7,30.7,108,2700,28.57,0,"Chavannes-sur-Reyssouze","01",84,854997.06,6594135.9,46.429355,5.018697
"01094",2025,20,0,3,3,0,6,7,4,0,0,179.7,184.5,12.2,120.3,2341,0,15,"Chavannes-sur-Reyssouze","01",84,854997.06,6594135.9,46.429355,5.018697
"01094",2026,13,4,1,0,1,1,4,3,2,2,278.9,252,13.8,116.9,3287,30.77,7.69,"Chavannes-sur-Reyssouze","01",84,854997.06,6594135.9,46.429355,5.018697
"01095",2024,37,0,1,0,1,20,11,5,0,0,172.7,160.4,13.3,77,1282,0,2.7,"Nivigne et Suran","01",84,887035.9186666666,6577258.513333334,46.269315,5.428973
"01095",2025,16,3,0,0,0,8,5,0,2,1,201.3,138,15.5,120.4,2452,18.75,0,"Nivigne et Suran","01",84,887035.9186666666,6577258.513333334,46.269315,5.428973
"01095",2026,10,3,0,0,0,1,4,2,0,3,317.7,272,20.4,111,2618,30,0,"Nivigne et Suran","01",84,887035.9186666666,6577258.513333334,46.269315,5.428973
"01096",2024,25,4,3,1,2,6,11,1,4,0,184.6,148.3,25.6,106.8,2186,16,12,"Chaveyriat","01",84,858577.192,6568613.08,46.198774,5.056648
"01096",2025,6,0,1,0,1,2,1,2,0,0,183.9,172,16.2,116.4,2202,0,16.67,"Chaveyriat","01",84,858577.192,6568613.08,46.198774,5.056648
"01096",2026,4,0,0,0,0,2,1,1,0,0,193.5,163,7,118.1,2240,0,0,"Chaveyriat","01",84,858577.192,6568613.08,46.198774,5.056648
"01098",2024,29,9,3,0,3,9,5,3,7,2,230.5,203.4,32.9,115.7,2583,31.03,10.34,"Chazey-Bons","01",84,,,,
"01098",2025,23,7,1,0,1,6,5,4,2,5,293.1,230.8,17,114.6,2507,30.43,4.35,"Chazey-Bons","01",84,,,,
"01098",2026,9,1,2,2,0,3,3,0,0,1,179.6,173,17.5,113.6,2959,11.11,22.22,"Chazey-Bons","01",84,,,,
"01099",2024,38,0,4,3,1,13,19,2,0,0,153.7,158.7,19.1,91.9,1448,0,10.53,"Chazey-sur-Ain","01",84,875475.03,6535671.085,45.898083,5.263444
"01099",2025,27,2,6,5,1,6,9,4,1,1,183,188.9,17,109.5,2052,7.41,22.22,"Chazey-sur-Ain","01",84,875475.03,6535671.085,45.898083,5.263444
"01099",2026,18,1,4,0,4,4,6,3,1,0,186.2,187,22.3,98,2066,5.56,22.22,"Chazey-sur-Ain","01",84,875475.03,6535671.085,45.898083,5.263444
"01100",2024,8,2,0,0,0,0,1,5,1,1,318.6,291.5,27.9,84.6,2386,25,0,"Cheignieu-la-Balme","01",84,902496.49,6528673.25,45.827592,5.608775
"01100",2025,5,0,0,0,0,1,3,1,0,0,210.3,214.5,7.8,113.2,2251,0,0,"Cheignieu-la-Balme","01",84,902496.49,6528673.25,45.827592,5.608775
"01100",2026,2,1,1,1,0,0,0,0,0,1,305.1,305.1,,75.2,1107,50,50,"Cheignieu-la-Balme","01",84,902496.49,6528673.25,45.827592,5.608775
"01101",2024,2,2,0,0,0,0,0,0,0,2,762.2,762.2,72,84.8,4897,100,0,"Chevillard","01",84,,,,
"01101",2025,4,2,0,0,0,0,0,2,0,2,482.2,482.8,15.8,84.6,2718,50,0,"Chevillard","01",84,,,,
"01101",2026,4,2,0,0,0,0,0,2,1,1,364.5,305,34.5,95.3,3227,50,0,"Chevillard","01",84,,,,
"01102",2024,14,0,3,2,1,4,5,2,0,0,150.5,155.6,22,121.9,2024,0,21.43,"Chevroux","01",84,849684.9155555556,6588652.882592592,46.381199,4.947779
"01102",2025,50,2,24,5,19,16,6,2,2,0,129.8,105.9,11.7,103.7,1692,4,48,"Chevroux","01",84,849684.9155555556,6588652.882592592,46.381199,4.947779
"01102",2026,13,0,4,2,2,5,3,1,0,0,146.3,145,8.6,99.7,1694,0,30.77,"Chevroux","01",84,849684.9155555556,6588652.882592592,46.381199,4.947779
